"","id","ta","tabin","grpvar","term","grp","condval","condsd","phase","contingency","half","phase_str","half_str","abscondval","slope"
"470","ss30",12.983548348917,"hiAnx","id","trno","ss30",-0.0488348773262858,0.0135431818878997,"ext","75/25","second","ext","second",0.0488348773262858,0.0488348773262858
"471","ss32",-13.016451651083,"lowAnx","id","trno","ss32",-0.0126742857133418,0.0135431818878997,"ext","75/25","second","ext","second",0.0126742857133418,0.0126742857133418
"472","ss33",-3.01645165108297,"lowAnx","id","trno","ss33",-0.00471999704576062,0.0212864095633218,"ext","75/25","second","ext","second",0.00471999704576062,0.00471999704576062
"473","ss34",12.983548348917,"hiAnx","id","trno","ss34",-0.0435777257608145,0.0135431818878997,"ext","75/25","second","ext","second",0.0435777257608145,0.0435777257608145
"474","ss35",-1.01645165108297,"lowAnx","id","trno","ss35",-0.0269216479912375,0.0212864095633218,"ext","75/25","second","ext","second",0.0269216479912375,0.0269216479912375
"475","ss36",-3.01645165108297,"lowAnx","id","trno","ss36",-0.00263696785963289,0.0135431818878997,"ext","75/25","second","ext","second",0.00263696785963289,0.00263696785963289
"476","ss37",12.983548348917,"hiAnx","id","trno","ss37",-0.0178920188281715,0.0172819900672547,"ext","75/25","second","ext","second",0.0178920188281715,0.0178920188281715
"477","ss38",-20.016451651083,"lowAnx","id","trno","ss38",0.00280994150501433,0.0153913754899732,"ext","75/25","second","ext","second",0.00280994150501433,0.00280994150501433
"478","ss39",-7.01645165108297,"lowAnx","id","trno","ss39",-0.0226919673973926,0.0135431818878997,"ext","75/25","second","ext","second",0.0226919673973926,0.0226919673973926
"479","ss4",-12.016451651083,"lowAnx","id","trno","ss4",-0.0154884969987169,0.0135431818878997,"ext","75/25","second","ext","second",0.0154884969987169,0.0154884969987169
"480","ss40",15.983548348917,"hiAnx","id","trno","ss40",0.00805780063551452,0.0135431818878997,"ext","75/25","second","ext","second",0.00805780063551452,0.00805780063551452
"481","ss41",1.98354834891703,"hiAnx","id","trno","ss41",-0.0278201630404862,0.0135431818878997,"ext","75/25","second","ext","second",0.0278201630404862,0.0278201630404862
"482","ss42",6.98354834891703,"hiAnx","id","trno","ss42",0.0102625305003206,0.0135431818878997,"ext","75/25","second","ext","second",0.0102625305003206,0.0102625305003206
"483","ss5",26.983548348917,"hiAnx","id","trno","ss5",-0.0608991244385722,0.0135431818878997,"ext","75/25","second","ext","second",0.0608991244385722,0.0608991244385722
"484","ss7",19.983548348917,"hiAnx","id","trno","ss7",0.00233318473929346,0.0157423233832102,"ext","75/25","second","ext","second",0.00233318473929346,0.00233318473929346
"485","ss9",0.983548348917033,"hiAnx","id","trno","ss9",-0.00991659156556812,0.0172819900672547,"ext","75/25","second","ext","second",0.00991659156556812,0.00991659156556812
"486","ss10",15.983548348917,"hiAnx","id","trno","ss10",0.0588073820465679,0.0179826141304214,"acq","90/10","first","acq","first",0.0588073820465679,0.0588073820465679
"487","ss12",4.98354834891703,"hiAnx","id","trno","ss12",0.0438097038666525,0.0206140701782359,"acq","90/10","first","acq","first",0.0438097038666525,0.0438097038666525
"488","ss13",-13.016451651083,"lowAnx","id","trno","ss13",-0.00425481176670519,0.0179826141304214,"acq","90/10","first","acq","first",0.00425481176670519,0.00425481176670519
"489","ss14",3.98354834891703,"hiAnx","id","trno","ss14",0.00423426957637089,0.0179826141304214,"acq","90/10","first","acq","first",0.00423426957637089,0.00423426957637089
"490","ss15",-3.01645165108297,"lowAnx","id","trno","ss15",0.0507995179111173,0.0179826141304214,"acq","90/10","first","acq","first",0.0507995179111173,0.0507995179111173
"491","ss16",-10.016451651083,"lowAnx","id","trno","ss16",0.0117176686744364,0.0179826141304214,"acq","90/10","first","acq","first",0.0117176686744364,0.0117176686744364
"492","ss17",8.98354834891703,"hiAnx","id","trno","ss17",0.080830989637298,0.0179826141304214,"acq","90/10","first","acq","first",0.080830989637298,0.080830989637298
"493","ss18",-6.01645165108297,"lowAnx","id","trno","ss18",0.027960874119256,0.0179826141304214,"acq","90/10","first","acq","first",0.027960874119256,0.027960874119256
"494","ss19",-6.01645165108297,"lowAnx","id","trno","ss19",0.0457852578999165,0.0179826141304214,"acq","90/10","first","acq","first",0.0457852578999165,0.0457852578999165
"495","ss20",-11.016451651083,"lowAnx","id","trno","ss20",-0.00324139255799345,0.0179826141304214,"acq","90/10","first","acq","first",0.00324139255799345,0.00324139255799345
"496","ss21",9.98354834891703,"hiAnx","id","trno","ss21",0.0620023011931349,0.0179826141304214,"acq","90/10","first","acq","first",0.0620023011931349,0.0620023011931349
